Source ID,Name,Random_number, RA (deg),DEC (deg),parallax (mas),pmra(masyr),pmdec (mas(yr),phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,M_g,U (km/s),V (km/s),W (km/s),Ilabel (0=thin.1=thick.2=halo)
Gaia DR2 672816969200760064,J073919.78+200829.4,1070960282,114.8324406,20.14153698,15.52949728,-21.72183559,8.741963704,15.970847,15.9185505,16.003513,-0.084962845,-0.05229664,-0.032666206,11.92663507,2.732506627,14.76782877,1.699760091,0
Gaia DR2 6243280979642915456,J160408.04-234558.3,689239230,241.0334954,-22.23383514,13.04773107,21.4263391,4.04986416,17.585098,17.68558,17.288025,0.3975544,0.10048103,0.29707336,13.16277325,8.700496486,16.74323367,2.28870005,0
Gaia DR2 5101820887314498048,J032423.16-203502.4,833127624,51.09654179,-19.41601532,24.45627715,-38.71991443,-14.52056257,16.840258,17.062363,16.451935,0.61042786,0.22210503,0.38832283,13.78220938,11.7490123,13.63329343,1.809431509,0
Gaia DR2 5556356035003846400,J062752.39-475900.6,781132892,96.96828629,-46.01649103,12.04967409,-16.51312011,9.110424942,18.157219,18.309484,17.827461,0.48202324,0.15226555,0.3297577,13.56209544,1.534654999,14.00166013,1.64804957,0
Gaia DR2 1602720338457152000,J153306.70+573232.3,392669916,233.2779446,57.54229431,16.51293302,27.99574744,-24.60097567,18.965628,19.496616,18.259518,1.2370987,0.5309887,0.70611,15.05474877,16.04539188,13.45365755,4.171832136,0
Gaia DR2 1016617865610081152,J090525.20+514322.4,414143217,136.3549799,51.72285896,13.29151716,15.00050727,7.069239993,18.056337,18.147003,17.793709,0.35329437,0.09066582,0.26262856,13.67421014,9.943041588,12.97968691,10.21081053,0
Gaia DR2 3452373568124842752,J060755.75+341526.3,351879726,91.98229551,34.25727688,13.72945815,-10.654367,5.5631843,16.711071,16.566715,16.89128,-0.32456398,-0.14435577,-0.1802082,12.399338,5.860758451,14.04514991,4.190278921,0
Gaia DR2 4723004183397284096,J032218.26-600802.0,1305606457,50.57611619,-59.86614945,12.02441375,26.60535111,13.20432025,19.911287,20.469074,19.083736,1.3853378,0.55778694,0.8275509,15.31160687,-3.83242451,5.45131031,10.23283488,0
Gaia DR2 3146523896095375744,J081317.38+093508.2,1657230920,123.3224127,9.585596519,12.24299275,21.30367145,-1.203361671,18.608381,18.877512,18.161568,0.7159443,0.2691307,0.44681358,14.04781923,10.50426444,8.816899732,13.19283047,0
Gaia DR2 5577031255950388480,J063922.34-394528.1,408211694,99.84311365,-38.24219353,10.67928562,21.87569272,1.650071669,18.779034,19.103998,18.312578,0.79142,0.32496452,0.46645546,13.92174467,7.310712432,6.803647363,15.37151129,0
Gaia DR2 4046296115632033152,J181724.38-323749.8,1003775572,274.3516052,-31.36946199,10.82662067,-10.8688128,-0.353636529,19.515015,19.603481,19.075205,0.52827644,0.088466644,0.4398098,14.68747925,6.569902219,8.278387823,10.61798378,0
Gaia DR2 4887631143142117632,J034950.95-312816.0,1013160638,57.46233718,-30.52893799,11.02804438,-21.64672464,-6.17780007,18.069424,18.211945,17.63933,0.57261467,0.1425209,0.43009377,13.2819162,12.08081207,15.14105315,0.496582686,0
Gaia DR2 5874345999033645568,J144811.59-633341.8,1061795687,222.0483479,-62.43842215,15.43494474,12.34518373,-22.67820779,17.168467,17.287643,16.914867,0.37277603,0.119176865,0.25359917,13.11099196,6.015387913,11.125814,-1.412877681,0
Gaia DR2 4544925596536285056,J170958.27+142553.4,1430509305,257.4927681,14.43153675,18.22867896,-36.18395075,12.08918236,18.788355,19.197443,18.007675,1.1897678,0.40908813,0.7806797,15.09213085,2.573589838,7.172182243,15.15695133,0
Gaia DR2 6379210303641967232,J230933.79-741760.0,1365575857,347.3907808,-73.69995894,12.52998784,-12.03728064,-21.90414888,17.025055,17.10557,16.804567,0.3010025,0.08051491,0.2204876,12.51480818,9.97109843,5.740520432,13.57342482,0
Gaia DR2 1317275544951049472,J160724.34+293323.8,1325259506,241.8514402,29.55661196,20.25394115,-27.47735172,18.73517617,15.587417,15.589893,15.559637,0.030256271,0.002476692,0.02777958,12.11996532,0.093727536,8.953627771,11.29536336,0
Gaia DR2 277130879287684480,J043511.86+552224.6,105649931,68.79941891,55.3735093,22.22433902,39.93300716,3.412594722,15.929477,16.008295,15.730885,0.2774105,0.07881832,0.19859219,12.66362196,4.044808241,5.756182438,13.26753348,0
Gaia DR2 2213351064589769472,J225451.07+681112.5,55581300,343.712823,68.18676483,20.67645187,42.63333555,-5.2881237,18.237675,18.666721,17.575191,1.0915298,0.42904663,0.6624832,14.81505479,-1.910979114,8.118695176,1.18263672,0
Gaia DR2 3339355661260116224,J052448.91+111742.0,232471035,81.20381254,11.29496965,12.17110789,-9.741403578,-12.5181391,17.405893,17.405205,17.305813,0.09939194,-0.000688553,0.10008049,12.83254389,7.78207866,8.791611814,0.867703526,0
Gaia DR2 2881240087097750528,J235557.36+380009.0,854486177,358.9890411,38.0025293,12.08237351,-14.89974376,-14.5480244,17.382421,17.464487,17.177244,0.2872429,0.08206558,0.2051773,12.79318278,13.14848483,11.55311943,2.659792812,0
Gaia DR2 5647521869824082816,J085954.89-301536.0,1425383513,134.9787071,-29.73997639,10.78278974,-13.49764165,-17.02657264,18.501987,18.743149,18.054625,0.68852425,0.24116135,0.4473629,13.66564314,7.400998971,8.418481128,-2.693814682,0
Gaia DR2 1604224470364124416,J143407.66+512424.5,601708962,218.5319372,51.4068355,16.84821861,28.3676752,-26.68001246,19.203981,19.744303,18.404072,1.340231,0.54032135,0.7999096,15.33675134,16.89077372,11.69438922,5.993670006,0
Gaia DR2 2060975722395716736,J202130.17+373615.8,311355093,305.3757359,37.6043668,10.20177107,26.92743301,0.064939013,19.847961,20.458426,19.170416,1.2880096,0.6104641,0.67754555,14.89133929,-0.911164156,12.42469926,-3.770048506,0
Gaia DR2 3054740204465650432,J072714.16-084121.8,783040345,111.80896,-7.310630122,80.87141672,-12.35232496,-75.99997453,14.894284,15.03188,14.629728,0.40215206,0.13759613,0.26455593,14.43325855,8.314271737,7.849929373,3.770043334,0
Gaia DR2 4319908862597055232,J192140.39+144040.1,118492171,290.4182611,14.67784101,50.25941971,-33.09952485,-75.82739195,13.038478,12.968777,13.130781,-0.16200447,-0.069701195,-0.092303276,11.5445662,11.90817805,5.538483506,5.88739666,0
Gaia DR2 2170187399180847872,J210023.33+514252.6,5655838,315.0971592,51.71458349,10.21792647,-3.259365474,11.09001529,17.774729,17.757103,17.766071,-0.008968353,-0.017625809,0.008657455,12.82154264,3.118607293,10.24867552,11.00927885,0
Gaia DR2 6410501923531836928,J215823.90-590606.5,1207778815,329.5995511,-58.8981598,15.69062725,5.340324648,28.25118381,15.811199,15.797377,15.80193,-0.004553795,-0.013822556,0.009268761,11.78940071,5.49083146,18.4377397,2.789496523,0
Gaia DR2 4338304993485762048,J163656.11-101149.6,1399001358,249.2338496,-9.802881796,13.56121668,-12.71834629,-17.61038057,18.939592,19.226192,18.396503,0.829689,0.2866001,0.5430889,14.60108564,6.909928726,3.061114967,6.51212467,0
Gaia DR2 2921786919133198848,J064856.06-263613.7,1101643386,102.23357,-25.39622991,18.79154524,-25.39431155,34.29106216,13.648949,13.465762,13.903287,-0.4375248,-0.18318653,-0.25433826,10.01876114,-2.434018209,16.92578973,4.326142627,0
Gaia DR2 4184482874382315648,J192227.53-164321.0,1240545066,290.6146722,-15.27751115,18.20038235,-20.17115225,-22.4370199,19.40798,19.84394,18.624308,1.2196331,0.43596077,0.78367233,15.70838252,9.384051487,3.872918577,8.747437704,0
Gaia DR2 4112920296803508864,J165802.66-261843.6,548499962,254.5110767,-25.68787921,17.64479908,32.7696588,19.5253773,18.483572,18.88116,17.799093,1.0820675,0.39758873,0.68447876,14.71665559,7.24803949,20.0440377,2.72064449,0
Gaia DR2 1047912479093335040,J104627.94+605449.0,174496554,161.6163544,60.91362255,21.60199128,8.520117175,46.50725111,18.054026,18.51741,17.423557,1.093853,0.46338463,0.63046837,14.72649458,7.173988546,20.2372695,2.838856636,0
Gaia DR2 6027396991122879744,J164634.78-334604.4,286165027,251.644939,-32.23214571,13.86047652,20.88560644,18.74927486,19.71079,20.206453,18.94032,1.2661343,0.4956627,0.7704716,15.41968144,7.862631536,19.91438953,5.113827616,0
